host_iso8601,host_unix_ns,elapsed_s,rx_interval_ms,record_type,estimated_x_cm,target_x_cm,estimated_vx_cm_s,motor_angle_deg,angle_command_deg,brake_p_offset_deg,terminal_offset_deg,brake_p_active,terminal_push_active,terminal_trim_active,terminal_brake_gate_active,sequence_stage,vision_age_ms,x_changed,x_unchanged_ms,raw_line
2026-09-23T01:02:58.062+08:00,1790096578062360300,0.439264,4.979,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,20,0,405.885,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,20"
2026-09-23T01:02:58.067+08:00,1790096578067445800,0.444337,5.073,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,24,0,410.958,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,24"
2026-09-23T01:02:58.072+08:00,1790096578072347500,0.449252,4.915,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,30,0,415.874,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,30"
2026-09-23T01:02:58.077+08:00,1790096578077435400,0.454326,5.074,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,34,0,420.947,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,34"
2026-09-23T01:02:58.082+08:00,1790096578082533500,0.459422,5.096,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,40,0,426.044,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,40"
2026-09-23T01:02:58.087+08:00,1790096578087335700,0.464237,4.815,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,3,0,430.859,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,3"
2026-09-23T01:02:58.092+08:00,1790096578092330100,0.469234,4.997,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,4,0,435.856,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,4"
2026-09-23T01:02:58.097+08:00,1790096578097305200,0.474210,4.975,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,5,0,440.831,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,5"
2026-09-23T01:02:58.102+08:00,1790096578102317200,0.479222,5.012,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,11,0,445.843,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,11"
2026-09-23T01:02:58.107+08:00,1790096578107326000,0.484230,5.008,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,15,0,450.852,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,15"
2026-09-23T01:02:58.112+08:00,1790096578112314100,0.489218,4.988,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,21,0,455.840,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,21"
2026-09-23T01:02:58.117+08:00,1790096578117331900,0.494221,5.003,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,25,0,460.843,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,25"
2026-09-23T01:02:58.122+08:00,1790096578122287500,0.499191,4.970,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,31,0,465.813,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,31"
2026-09-23T01:02:58.126+08:00,1790096578126412900,0.503317,4.126,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,35,0,469.939,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,35"
