t,frame_seq,result_ready_t,capture_to_log_ms,inference_ms,refinement_ms,processing_ms,raw_x_cm,sent_x_cm,raw_vx_cm_s,sent_vx_cm_s,measurement_valid,tracking_valid,sent_valid,confidence,source,reason,actual_angle_deg,center_x_px,center_y_px,radius_px,measurement_x_cm,kalman_x_cm,kalman_vx_cm_s
4010.036863,66,4010.054672,17.8092,5.1334,0.6100,17.6932,-10.7583,-10.7583,0.0000,0.0000,1,1,1,0.3453,yolo_box,ok,12.0000,918.7951,72.1261,22.0267,-10.7583,-10.7583,0.0000
4010.052952,67,4010.070503,17.5501,5.1017,0.4635,15.5573,-10.7633,-10.7633,0.0000,0.0000,1,1,1,0.3775,yolo_box,ok,12.0000,919.0084,71.9046,21.9570,-10.7633,-10.7633,0.0000
4010.069348,68,4010.085229,15.8813,5.0968,0.4448,14.5041,-10.7710,-10.7710,0.0000,0.0000,1,1,1,0.4415,yolo_box,ok,12.0000,919.3448,71.9169,22.2892,-10.7710,-10.7710,0.0000
4010.085291,69,4010.099030,13.7386,5.1207,0.4151,13.4767,-10.7678,-10.7678,0.0000,0.0000,1,1,1,0.3666,yolo_box,ok,12.0000,919.2032,71.7384,22.1518,-10.7678,-10.7678,0.0000
4010.104129,70,4010.118576,14.4467,5.0980,0.4094,14.3236,-10.7663,-10.7663,0.0000,0.0000,1,1,1,0.3394,yolo_box,ok,12.0000,919.1397,71.0903,22.0841,-10.7663,-10.7663,0.0000
4010.120730,71,4010.134724,13.9939,5.1122,0.4221,13.8754,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.3453,yolo_box,ok,12.0000,919.0043,72.0297,21.9652,-10.7632,-10.7632,0.0000
4010.136459,72,4010.150278,13.8189,5.0969,0.4192,13.7006,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.2854,yolo_box,ok,12.0000,919.0064,71.2647,21.9508,-10.7632,-10.7632,0.0000
4010.152448,73,4010.167546,15.0982,5.2020,0.4136,14.9780,-10.7713,-10.7713,0.0000,0.0000,1,1,1,0.3313,yolo_box,ok,12.0000,919.3550,71.0206,22.2913,-10.7713,-10.7713,0.0000
4010.169223,74,4010.177582,8.3592,5.1244,0.0000,8.2586,,-10.7713,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.184118,75,4010.192560,8.4422,5.1021,0.0000,8.3285,,-10.7713,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.204068,76,4010.218609,14.5414,5.1038,0.4148,14.3606,-10.7568,-10.7568,0.0000,0.0000,1,1,1,0.3821,yolo_box,ok,12.0000,918.7274,72.0666,21.9632,-10.7568,-10.7568,0.0000
4010.221405,77,4010.238378,16.9732,5.2143,0.7216,16.8285,-10.7633,-10.7633,0.0000,0.0000,1,1,1,0.5116,yolo_box,ok,12.0000,919.0105,72.1937,21.9590,-10.7633,-10.7633,0.0000
4010.237521,78,4010.254363,16.8421,5.1333,0.5172,15.6591,-10.7583,-10.7583,0.0000,0.0000,1,1,1,0.3211,yolo_box,ok,12.0000,918.7931,72.0830,22.2954,-10.7583,-10.7583,0.0000
4010.254426,79,4010.270088,15.6625,5.1123,0.4664,15.4930,-10.7622,-10.7622,0.0000,0.0000,1,1,1,0.3620,yolo_box,ok,12.0000,918.9633,71.8758,22.0021,-10.7622,-10.7622,0.0000
4010.269525,80,4010.284767,15.2418,5.0950,0.4958,14.3227,-10.7600,-10.7600,0.0000,0.0000,1,1,1,0.4115,yolo_box,ok,12.0000,918.8669,71.5600,22.1108,-10.7600,-10.7600,0.0000
4010.284854,81,4010.298565,13.7111,5.1229,0.4141,13.5198,-10.7622,-10.7622,0.0000,0.0000,1,1,1,0.3971,yolo_box,ok,12.0000,918.9633,72.1630,21.9898,-10.7622,-10.7622,0.0000
4010.304158,82,4010.318834,14.6760,5.1234,0.4147,14.5578,-10.7712,-10.7712,0.0000,0.0000,1,1,1,0.3514,yolo_box,ok,12.0000,919.3530,72.4234,22.2892,-10.7712,-10.7712,0.0000
4010.321085,83,4010.335136,14.0509,5.2580,0.4221,13.9322,-10.7599,-10.7599,0.0000,0.0000,1,1,1,0.3666,yolo_box,ok,12.0000,918.8608,72.2224,22.3671,-10.7599,-10.7599,0.0000
4010.336529,84,4010.350346,13.8177,5.1105,0.4192,13.6985,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.5667,yolo_box,ok,12.0000,919.0043,72.6449,22.2400,-10.7632,-10.7632,0.0000
4010.352381,85,4010.367634,15.2533,5.1410,0.4207,15.1288,-10.7646,-10.7646,0.0000,0.0000,1,1,1,0.6380,yolo_box,ok,12.0000,919.0659,71.4390,22.0226,-10.7646,-10.7646,0.0000
4010.368867,86,4010.382704,13.8376,5.1358,0.4203,13.7158,-10.7657,-10.7657,0.0000,0.0000,1,1,1,0.3574,yolo_box,ok,12.0000,919.1130,72.7516,21.8646,-10.7657,-10.7657,0.0000
4010.384369,87,4010.398010,13.6410,5.1144,0.4093,13.5214,-10.7586,-10.7586,0.0000,0.0000,1,1,1,0.3012,yolo_box,ok,12.0000,918.8074,71.9066,21.7519,-10.7586,-10.7586,0.0000
